Ax,Ay,Az
511,-488,15928
256,-468,15636
511,-440,15636
511,-760,15840
511,-680,15836
511,-464,15616
511,-420,15624
511,-712,15868
511,-752,15860
511,-452,15644
511,-416,15640
511,-448,15636
511,-708,15812
511,-640,15860
511,-728,15868
511,-384,15620
511,-416,15636
511,-456,15884
256,-420,15660
511,-452,15656
511,-660,15848
511,-440,15648
511,-696,16112
256,-428,15644
511,-768,16116
256,-448,15628
511,-456,15636
511,-440,15672
511,-464,15636
511,-440,15620
511,-460,15628
511,-708,15808
511,-416,15872
256,-460,15680
511,-464,15940
256,-720,15844
511,-456,15628
511,-680,15832
511,-444,15640
511,-420,15620
255,-516,15820
511,-436,15624
511,-432,15656
511,-716,15828
511,-708,16096
256,-484,15900
256,-440,15648
511,-716,15840
511,-428,15652
511,-432,15644
511,-732,15856
511,-412,15628
511,-460,15696
511,-700,15848
256,-708,15864
511,-704,16116
256,-404,15656
511,-728,15868
256,-644,15844
511,-408,15640
511,-484,15624
511,-492,15628
511,-400,15664
511,-460,15656
511,-428,15904
256,-736,15852
511,-684,15844
511,-460,15880
256,-428,15664
511,-392,15624
511,-464,15652
256,-756,16112
256,-696,15860
511,-436,15664
511,-444,15660
511,-416,15664
511,-468,15688
511,-448,15636
511,-416,15892
256,-488,15620
511,-444,15624
511,-436,15708
511,-468,15636
511,-472,15628
511,-436,15652
511,-472,15712
511,-400,15640
511,-404,15616
511,-456,15656
511,-440,15620
511,-460,15896
256,-748,16116
256,-652,15860
511,-464,15872
256,-432,15620
511,-484,15652
511,-424,15636
511,-712,15868
511,-460,15624
511,-436,15664
511,-448,15684
511,-472,15892
256,-400,15652
511,-696,15852
511,-728,15864
511,-456,15664
511,-396,15636
511,-404,15676
511,-668,15868
511,-448,15632
511,-416,15652
256,-692,16112
256,-416,15616
511,-452,15636
511,-696,15836
256,-492,15672
511,-444,15656
511,-424,15636
511,-736,15852
511,-728,15860
511,-704,15832
511,-452,15632
511,-632,15852
511,-440,15636
511,-456,15668
511,-496,15620
511,-716,16068
256,-684,15844
511,-752,16124
0,-264,15636
511,-432,15888
256,-448,15708
511,-716,15856
511,-680,15860
511,-384,15896
256,-428,15628
511,-424,15676
511,-732,15848
511,-436,15644
511,-460,15696
511,-688,15852
511,-472,15916
256,-428,15896
256,-452,15616
511,-416,15628
511,-428,15648
511,-740,16120
256,-408,15652
511,-484,15924
256,-460,15648
511,-452,15908
256,-480,15620
511,-752,15844
511,-720,16092
256,-500,15652
511,-736,15852
511,-408,15648
511,-464,15648
511,-416,15892
256,-468,15680
511,-496,15640
511,-492,15880
256,-476,15896
256,-496,15892
256,-692,15868
511,-684,15848
511,-692,16116
256,-468,15616
511,-496,15656
511,-720,15856
511,-456,15636
256,-716,15868
256,-412,15656
511,-468,15892
256,-752,16124
256,-760,15852
511,-444,15628
511,-696,15868
511,-392,15624
511,-420,15648
256,-484,15920
256,-664,15852
511,-704,15852
511,-736,15864
511,-468,15908
256,-732,16104
256,-400,15676
511,-392,15624
511,-712,15860
511,-432,15688
511,-720,16096
256,-500,15644
511,-752,15860
511,-420,15616
511,-500,15660
511,-440,15652
511,-472,15896
256,-460,15644
256,-644,15868
511,-444,15680
511,-484,15620
511,-480,15624
511,-716,15852
511,-480,15892
256,-480,15660
511,-428,15880
256,-464,15624
511,-428,15636
511,-452,15924
256,-456,15632
256,-692,15864
511,-404,15880
256,-436,15636
511,-484,15920
256,-452,15668
511,-696,16124
256,-464,15896
256,-452,15644
511,-708,15856
511,-512,15660
511,-376,15916
256,-704,15868
511,-444,15904
256,-476,15644
511,-472,15680
511,-396,15656
511,-480,15652
511,-500,15928
256,-716,15856
511,-744,15848
511,-436,15904
256,-420,15916
256,-456,15648
511,-460,15680
511,-680,15840
511,-492,15660
511,-468,15688
511,-700,15860
255,-264,15928
256,-740,15844
511,-432,15636
511,-464,15680
511,-704,15856
511,-420,15648
511,-436,15660
511,-420,15640
511,-468,15892
256,-432,15616
511,-684,15868
511,-468,15616
511,-488,15700
256,-508,15652
511,-688,15868
511,-436,15632
511,-708,15860
511,-448,15660
511,-696,16096
256,-448,15936
256,-488,15684
511,-684,15860
511,-468,15872
256,-428,15656
511,-436,15648
511,-452,15636
511,-728,15848
511,-472,15664
511,-480,15648
511,-664,15868
511,-752,15868
511,-720,15864
511,-472,15688
511,-492,15680
511,-400,15884
256,-488,15624
511,-472,15680
511,-480,15636
511,-448,15656
511,-716,15864
511,-464,15640
511,-708,15868
511,-408,15872
256,-448,15668
511,-728,16112
256,-476,15644
511,-424,15640
511,-440,15644
256,-460,15624
511,-460,15660
511,-456,15908
256,-712,15844
255,-272,15644
511,-416,15620
255,-264,15648
255,-260,15932
256,-696,15868
511,-408,15628
511,-732,16080
256,-672,15860
511,-720,15856
511,-432,15676
511,-432,15644
511,-416,15620
511,-444,15652
511,-468,15676
511,-412,15620
511,-672,16124
256,-476,15880
256,-464,15908
256,-512,15652
256,-688,15856
511,-700,16096
256,-492,15624
511,-388,15632
511,-448,15632
511,-764,15852
511,-400,15616
511,-460,15912
256,-480,15636
511,-468,15916
256,-384,15632
511,-412,15992
0,-264,15644
511,-660,15832
511,-724,15808
511,-700,15852
511,-460,15656
511,-744,15860
511,-460,15640
511,-432,15664
511,-424,15624
511,-432,15660
511,-460,15908
256,-660,15864
511,-432,15900
256,-408,15648
511,-452,15624
511,-424,15672
511,-724,15840
511,-456,15908
256,-724,15856
511,-420,15872
256,-452,15616
511,-728,16108
256,-704,15852
511,-488,15872
256,-684,15844
511,-452,15644
