Ax,Ay,Az,Gx,Gy,Gz
0,-304,15896,511,577,-79
0,-372,15704,511,555,-88
0,-376,15632,511,547,-84
0,-324,15652,511,578,-91
0,-344,15912,256,587,-88
0,-352,15644,511,560,-80
0,-384,15672,511,585,-83
0,-344,15944,256,589,-52
0,-356,15644,256,565,-106
255,-400,15640,511,582,-56
0,-388,15632,256,578,-66
0,-668,15868,511,557,-67
0,-364,15688,511,570,-86
0,-328,15924,256,589,-51
0,-384,15648,511,575,-103
0,-340,15924,256,543,-74
0,-328,15628,511,597,-98
0,-364,15916,256,558,-96
0,-436,15628,511,582,-69
0,-412,15636,511,598,-106
0,-352,15952,256,583,-92
0,-344,15656,511,553,-67
0,-372,15708,511,564,-96
0,-288,15940,256,588,-83
0,-356,15876,256,579,-108
0,-604,15856,511,576,-72
0,-360,15620,511,563,-87
0,-328,15636,511,549,-56
0,-384,15632,511,606,-72
0,-308,15672,511,600,-86
0,-368,15624,511,546,-61
0,-624,15868,511,590,-75
0,-384,15652,511,572,-51
0,-348,15696,511,568,-86
0,-380,15644,511,580,-79
0,-296,15632,511,583,-82
0,-388,15920,256,573,-95
0,-396,15936,256,578,-116
0,-412,15668,511,555,-90
0,-372,15672,511,586,-64
0,-404,15632,511,587,-80
0,-320,15652,511,585,-100
0,-380,15632,511,591,-80
0,-352,15648,511,568,-72
0,-316,15896,256,566,-81
0,-348,15932,256,568,-90
0,-356,15636,511,593,-113
0,-356,15656,511,581,-70
0,-392,15680,511,587,-57
0,-372,15656,511,551,-73
0,-384,15664,511,578,-101
0,-340,15672,511,590,-56
0,-376,15688,511,593,-63
0,-376,15628,511,584,-78
0,-368,15972,256,538,-82
0,-408,15704,511,603,-101
0,-428,15668,511,580,-58
0,-348,15968,256,574,-85
0,-380,15620,511,577,-83
0,-336,15648,511,605,-95
0,-380,15644,511,553,-80
0,-404,15680,511,567,-81
0,-348,15724,256,567,-57
0,-340,15644,511,600,-84
0,-412,15900,256,573,-100
0,-360,15628,511,586,-33
0,-348,15704,511,581,-135
0,-364,15912,256,599,-44
0,-384,15928,256,581,-73
0,-584,15868,511,584,-73
0,-308,15920,256,590,-115
0,-324,15648,511,571,-101
0,-392,15676,511,588,-69
0,-348,15956,256,576,-97
0,-356,15696,511,548,-87
0,-336,15952,256,618,-73
0,-396,15656,256,574,-96
256,-484,15656,511,564,-93
0,-372,15676,511,551,-62
0,-360,15688,511,603,-68
0,-392,15684,511,580,-84
0,-356,15672,511,552,-49
0,-608,16112,256,574,-84
0,-388,15672,511,589,-73
0,-608,15860,511,582,-108
0,-320,15644,511,556,-82
0,-332,15652,511,575,-76
0,-368,15884,256,576,-102
0,-352,15928,256,564,-75
0,-392,15904,256,574,-80
0,-604,15864,256,593,-77
0,-340,15628,511,550,-73
0,-336,15620,511,538,-89
0,-368,15872,256,570,-75
0,-352,15676,511,592,-90
0,-560,16112,256,549,-100
0,-432,15704,511,583,-97
0,-396,15932,256,567,-83
0,-400,15652,511,560,-84
0,-372,15908,256,579,-87
0,-364,15916,256,559,-101
0,-372,15688,511,554,-69
0,-368,15688,511,572,-72
0,-332,15660,511,583,-71
0,-368,15660,511,541,-61
0,-384,15668,511,589,-81
0,-328,15648,511,567,-74
0,-348,15928,256,583,-80
0,-372,15956,256,562,-73
0,-376,15688,511,574,-97
0,-368,15928,256,557,-88
0,-348,15924,256,566,-82
0,-380,15664,511,575,-97
0,-292,15872,256,586,-94
0,-608,16124,256,570,-86
0,-352,15624,511,582,-95
0,-400,15684,511,582,-74
0,-356,15708,511,554,-67
0,-364,15668,511,579,-84
0,-448,15680,511,573,-97
0,-408,15624,256,598,-66
0,-372,15660,511,581,-67
0,-620,15844,511,572,-101
0,-360,15676,511,588,-44
0,-412,15732,511,541,-79
0,-420,15640,511,609,-89
0,-360,15672,511,556,-92
0,-372,16016,256,590,-73
0,-400,15924,256,585,-86
0,-348,15676,256,571,-90
0,-656,15864,511,573,-89
